Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action-rude humor and language",60,2004,82,80
The Life Aquatic with Steve Zissou,R,"language-some drug use-violence and partial nudity",100,2004,,82
The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82
White Chicks,PG-13,"crude and sexual humor-language and some drug content",80,2004,82,80
Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,,82
