5 to 7,R,some sexual material,100,2014,,82
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58,80
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,,82
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80
Honeytrap,NR,This movie has not been rated.,124,2014,,82
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
Iron Man & Captain America: Heroes United,PG,"action and violence throughout-and mild language",60,2014,,82
Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75,80
Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,,82
Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
Paddington,PG,mild action and rude humor,60,2014,70,80
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82
Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
Ribbit,PG,some peril,60,2014,,82
Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82
"Sex Love and Therapy",NR,This movie has not been rated.,124,2014,,82
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82
The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,,82
The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,,82
The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73,80
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82
Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
