Air Buddies,PG,"some mild-rude humor",60,2006,,82
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55,80
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
High School Musical,TV-G,Suitable for all ages.,35,2006,64,80
Lucky Number Slevin,R,"strong violence-sexual content and adult language",100,2006,,82
Step Up,PG-13,"thematic elements-brief violence and innuendo",80,2006,64,80
The Benchwarmers,PG-13,"crude and suggestive humor-and for language",80,2006,77,80
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82
