A Monster in Paris,PG,"some action violence involving gunplay-and mild rude humor",60,2011,,82
Dolphin Tale,PG,some mild thematic elements,60,2011,,82
DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88,80
Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,,82
Mean Girls 2,PG-13,"For some rude and suggestive material-and for language.",80,2011,,82
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,,82
PopPixie,TV-G,Suitable for all ages.,35,2011,,82
The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,,82
The Hunter,R,language and brief violence,100,2011,,82
The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,,82
