Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82
Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82
Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,,82
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout-brief language and momentary smoking",60,2008,57,80
Twilight,PG-13,some violence and one sexual scene,80,2008,89,80
