Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Corpse Bride,PG,"some scary images and action-and brief mild language",60,2005,91,80
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82
Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,,82
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85,80
Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,,82
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89,80
The Pacifier,PG,"action violence-language and rude humor",60,2005,91,80
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79,80
